Ticker,Date,Open,High,Low,Close,Volume,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ProfitMargin,52WeekHigh,52WeekLow,Beta,EPS,50DayMovingAverage,200DayMovingAverage,AnalystTargetPrice,MADelta,52wkhighpercent,52wklowpercent
TSLA,2019-05-13,46.402000427246094,46.49399948120117,44.900001525878906,45.402000427246094,54174000,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.05067753145132949,0.2891847160971089
TSLA,2019-05-14,45.86000061035156,46.900001525878906,45.599998474121094,46.46200180053711,36262000,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.051860700748450846,0.2959363172008733
TSLA,2019-05-15,45.86399841308594,46.487998962402344,45.04999923706055,46.38999938964844,36480000,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.051780331945137224,0.29547770311877986
TSLA,2019-05-16,45.89799880981445,46.20000076293945,45.29999923706055,45.66600036621094,37416500,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.05097220712826313,0.2908662443707703
TSLA,2019-05-17,44.391998291015625,44.448001861572266,41.784000396728516,42.20600128173828,88933500,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.047110169976267754,0.2688280336416451
TSLA,2019-05-20,40.560001373291016,41.20000076293945,39.04999923706055,41.071998596191406,102631000,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.04584440071011431,0.26160508659994525
TSLA,2019-05-21,39.551998138427734,41.47999954223633,39.20800018310547,41.01599884033203,90019500,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.04578189400639807,0.26124840025689194
TSLA,2019-05-22,39.81999969482422,40.78799819946289,38.35599899291992,38.54600143432617,93426000,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.04302489277187875,0.24551593270271446
TSLA,2019-05-23,38.86800003051758,39.89400100708008,37.24399948120117,39.097999572753906,132735500,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.04364103088821733,0.24903184441244527
TSLA,2019-05-24,39.965999603271484,39.99599838256836,37.75,38.125999450683594,70683000,21.304000000000002,0.736,0.0318,895.9,157.0,1.9845,0.998,683.0763,667.6198,663.97,15.456499999999892,0.042556088236057145,0.24284076083237957
